TimetableIndividual,TimetableIndividual.TimetableFlag,TimetableIndividual.TimetableUnits,TimetableIndividual.Classes,TimetableIndividual.Teachers,TimetableIndividual.Errors,TimetableIndividual.Warning,TimetableIndividual.Adaptability,TimetableIndividual.Age,TimetableIndividual.Longevity
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],10000,1,27
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],10000,1,31
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],12000,1,42
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],10000,1,48
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],10000,1,40
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],10000,1,38
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],10000,1,22
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],10000,1,43
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],10000,1,24
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],10000,1,31
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],12000,1,20
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],14000,1,48
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],10000,1,20
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],12000,1,37
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],12000,1,27
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],12000,1,21
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],13000,1,35
Entities.DTOs.TimetableCreation.TimetableIndividual,"[None, Fixed, Filled, Filled, Filled, Filled, None, None, None, None, None, Filled, Filled, Filled, Filled, Filled, None, None...]",[...],"[Entities.DTOs.TimetableCreation.ClassTCDTO, Entities.DTOs.TimetableCreation.ClassTCDTO...]","[Entities.DTOs.TimetableCreation.TeacherTCDTO, Entities.DTOs.TimetableCreation.TeacherTCDTO...]","[Giáo viên Hương: dạy môn DIA, DIA, DIA cùng lúc tại tiết 1 vào thứ 5...]",[],15000,1,44
